ticker,entry_date,expiry_date,dte,S_entry,iv_entry,K1_long,K2_short,width,debit,S_expiry,intrinsic_expiry,pnl,ret_on_debit,ret_on_width,rrr,max_profit
AAL,2021-02-24,2021-04-23,58,21.81999969482422,0.6421467604907571,21.0,24.0,3.0,1.3105154557502907,21.110000610351562,0.1100006103515625,-1.2005148453987282,-0.9160630957316063,-0.4001716151329094,1.2891755963934457,1.6894845442497093
AAL,2021-05-03,2021-07-02,60,21.950000762939453,0.4162120068834201,21.0,24.0,3.0,1.3303630874854493,21.479999542236328,0.4799995422363281,-0.8503635452491212,-0.6391965871936611,-0.28345451508304037,1.2550234805975946,1.6696369125145507
AAL,2021-08-05,2021-10-04,60,20.90999984741211,0.5748012402083876,20.0,23.0,3.0,1.320240675444365,21.389999389648438,1.3899993896484375,0.06975871420407254,0.05283787683680723,0.023252904734690844,1.2723129621727975,1.679759324555635
AAL,2021-11-05,2022-01-04,60,21.81999969482422,0.3521671892843082,21.0,24.0,3.0,1.2714376464395274,19.020000457763672,0.0,-1.2714376464395274,-1.0,-0.4238125488131758,1.359533720274097,1.7285623535604726
AAPL,2021-02-02,2021-04-01,58,131.2834930419922,0.36665347130583487,130.0,144.0,14.0,5.443533546362774,119.80143737792969,0.0,-5.443533546362774,-1.0,-0.38882382474019817,1.5718588635050172,8.556466453637226
AAPL,2021-04-05,2021-06-04,60,122.62605285644531,0.328025459170026,122.0,134.0,12.0,4.568621516479913,122.82457733154297,0.8245773315429688,-3.7440441849369446,-0.8195128818247349,-0.3120036820780787,1.6266128539459108,7.431378483520087
AAPL,2021-06-07,2021-08-06,60,122.83432006835938,0.22460457308803333,122.0,134.0,12.0,4.150709370037315,142.79510498046875,12.0,7.849290629962685,1.8910720867676936,0.6541075524968903,1.8910720867676936,7.849290629962685
AAPL,2021-08-09,2021-10-08,60,142.7462615966797,0.2029806051311418,142.0,156.0,14.0,4.569075562637071,139.6292724609375,0.0,-4.569075562637071,-1.0,-0.3263625401883622,2.064077143850038,9.430924437362929
AAPL,2021-10-11,2021-12-10,60,139.5413360595703,0.1997113467778361,138.0,152.0,14.0,4.817912701740801,175.59861755371094,14.0,9.182087298259198,1.905822680212022,0.6558633784470855,1.905822680212022,9.182087298259198
AAPL,2021-12-13,2022-02-11,60,171.96823120117188,0.2866896503090399,170.0,188.0,18.0,6.7759778088937725,165.2308349609375,0.0,-6.7759778088937725,-1.0,-0.3764432116052096,1.656443174352519,11.224022191106227
AAPL,2022-02-14,2022-04-14,59,165.4659881591797,0.32954729828538276,164.0,182.0,18.0,6.748142646605431,161.94859313964844,0.0,-6.748142646605431,-1.0,-0.3748968137003017,1.667400637871026,11.25185735339457
